iter	Passed	Remaining
399	66514	748117
400	66769	748953
401	67022	749754
402	67290	750718
403	67564	751738
404	67809	752439
405	68047	753042
406	68365	754539
407	68569	754763
408	68785	755125
409	68989	755345
410	69261	756317
411	69451	756381
412	69648	756516
413	69884	757080
414	70096	757380
415	70313	757730
416	70524	758014
417	70751	758465
418	70933	758424
419	71137	758635
420	71338	758796
421	71536	758931
422	71745	759179
423	71935	759223
424	72142	759448
425	72359	759778
426	72547	759790
427	72746	759924
428	72956	760178
429	73152	760276
430	73358	760475
431	73560	760632
432	73771	760887
433	74038	761706
434	74245	761909
435	74440	761992
436	74650	762219
437	74857	762419
438	75068	762658
439	75320	763306
440	75533	763557
441	75733	763671
442	75976	764227
443	76208	764659
444	76390	764588
445	76604	764844
446	76823	765139
447	77045	765472
448	77258	765700
449	77483	766053
450	77693	766259
451	77915	766569
452	78132	766839
453	78328	766892
454	78514	766856
455	78732	767121
456	78908	766988
457	79132	767311
458	79334	767418
459	79545	767609
460	79738	767636
461	80040	768704
462	80257	768945
463	80489	769332
464	80684	769363
465	80885	769449
466	81135	770009
467	81291	769662
468	81516	769976
469	81724	770125
470	81944	770380
471	82160	770603
472	82340	770485
473	82545	770600
474	82769	770891
475	82959	770858
476	83157	770910
477	83297	770412
478	83518	770667
479	83697	770544
480	83903	770654
481	84114	770814
482	84272	770491
483	84472	770546
484	84688	770750
485	84861	770566
486	85122	771170
487	85296	770985
488	85502	771099
489	85690	771036
490	85907	771244
491	86102	771248
492	86328	771528
493	86530	771596
494	86722	771565
495	86939	771761
496	87144	771853
497	87368	772109
498	87579	772241
499	87781	772305
500	88005	772554
501	88161	772205
502	88386	772460
503	88586	772494
504	88780	772480
505	88962	772354
506	89168	772444
507	89382	772595
508	89572	772536
509	89771	772562
510	89979	772665
511	90172	772634
512	90374	772674
513	90589	772826
514	90803	772976
515	91019	773139
516	91204	773035
517	91416	773157
518	91622	773230
519	91830	773319
520	92053	773530
521	92302	773961
522	92463	773656
523	92699	773968
524	92943	774350
525	93152	774444
526	93272	773792
527	93521	774210
528	93770	774621
529	93942	774409
530	94119	774224
531	94317	774222
532	94516	774221
533	94713	774200
534	94916	774234
535	95112	774207
536	95320	774277
537	95555	774565
538	95787	774830
539	96061	775426
540	96282	775598
541	96469	775490
542	96697	775717
543	96971	776303
544	97134	776005
545	97386	776413
546	97603	776546
547	97827	776731
548	98067	777036
549	98250	776896
550	98294	775651
551	98499	775680
552	98716	775806
553	98916	775799
554	99107	775716
555	99338	775945
556	99754	777618
557	99934	777446
558	100152	777568
559	100381	777778
560	100576	777719
561	100756	777548
562	100982	777730
563	101193	777787
564	101396	777790
565	101638	778092
566	101807	777830
567	102017	777879
568	102210	777805
569	102390	777630
570	102563	777402
571	102738	777185
572	102923	777045
573	103088	776756
574	103289	776740
575	103465	776533
576	103661	776475
577	103877	776566
578	104028	776168
579	104232	776174
580	104351	775545
581	104507	775184
582	104608	774423
583	104736	773864
584	104938	773857
585	105082	773411
586	105177	772616
587	105314	772124
588	105371	771057
589	105496	770485
590	105622	769917
591	105701	769010
592	105778	768097
593	105896	767485
594	105992	766712
595	106102	766037
596	106210	765355
597	106289	764469
598	106365	763558
599	106465	762826
600	106580	762197
601	106671	761408
602	106751	760540
603	106860	759875
604	106945	759045
605	107052	758374
606	107172	757797
607	107290	757210
608	107386	756464
609	107507	755897
610	107599	755135
611	107680	754290
612	107807	753770
613	107906	753057
614	107987	752226
615	108076	751447
616	108162	750653
617	108263	749962
618	108363	749267
619	108458	748540
620	108574	747954
621	108696	747416
622	108806	746797
623	108925	746243
624	109045	745698
625	109138	744968
626	109218	744150
627	109318	743469
628	109426	742850
629	109518	742119
630	109610	741393
631	109721	740792
632	109819	740111
633	109907	739363
634	109990	738578
635	110112	738065
636	110270	737789
637	110369	737123
638	110405	736035
639	110509	735406
640	110612	734772
641	110765	734470
642	110875	733881
643	110957	733112
644	111051	732425
645	111152	731781
646	111243	731077
647	111345	730445
648	111442	729786
649	111561	729271
650	111665	728654
651	111772	728062
652	111895	727575
653	111993	726932
654	112091	726283
655	112181	725588
656	112281	724961
657	112395	724422
658	112495	723793
659	112596	723179
660	112685	722484
661	112818	722074
662	112909	721395
663	113011	720788
664	113118	720213
665	113213	719568
666	113315	718968
667	113395	718228
668	113489	717581
669	113579	716910
670	113696	716409
671	113800	715827
672	113876	715072
673	113981	714498
674	114090	713955
675	114191	713357
676	114294	712781
677	114382	712108
678	114474	711460
679	114591	710971
680	114676	710287
681	114754	709557
682	114844	708910
683	114957	708399
684	115055	707803
685	115146	707161
686	115241	706547
687	115341	705965
688	115435	705345
689	115537	704776
690	115631	704166
691	115739	703634
692	115851	703132
693	115937	702476
694	116041	701923
695	116116	701202
696	116207	700580
697	116312	700042
698	116407	699441
699	116504	698860
700	116604	698298
701	116708	697754
702	116813	697222
703	116918	696695
704	117012	696102
705	117101	695477
706	117195	694885
707	117300	694357
708	117395	693778
709	117474	693099
710	117551	692410
711	117633	691758
712	117704	691037
713	117804	690492
714	117922	690055
715	118017	689480
716	118121	688958
717	118273	688720
718	118353	688061
719	118445	687476
720	118534	686875
721	118635	686346
722	118743	685854
723	118858	685405
724	119004	685135
725	119127	684736
726	119227	684203
727	119305	683549
728	119369	682811
729	119430	682060
730	119504	681387
731	119593	680801
732	119678	680190
733	119757	679549
734	119861	679052
735	119943	678429
736	120080	678119
737	120194	677681
738	120283	677100
739	120377	676555
740	120469	675996
741	120551	675378
742	120631	674758
743	120732	674254
744	120842	673795
745	120923	673186
746	121009	672599
747	121092	671997
748	121180	671428
749	121269	670864
750	121356	670286
751	121426	669623
752	121512	669046
753	121619	668584
754	121706	668015
755	121787	667414
756	121881	666887
757	121962	666291
758	122055	665755
759	122135	665156
760	122227	664620
761	122322	664105
762	122395	663472
763	122479	662897
764	122561	662311
765	122643	661728
766	122728	661164
767	122810	660587
768	122887	659979
769	122974	659429
770	123059	658870
771	123148	658334
772	123242	657822
773	123312	657188
774	123376	656520
775	123428	655794
776	123511	655230
777	123607	654735
778	123690	654178
779	123772	653613
780	123865	653110
781	123965	652641
782	124051	652103
783	124138	651569
784	124224	651033
785	124323	650562
786	124422	650097
